Suspicious_word_count,domain_length,count_dots,count_dashes,https,count_at_symbol,count_digits,has_ip,subdomain_count,query_length,num_params,num_slashes,entropy,has_tld_in_path
0,11,2,0,0,0,1,0,-1,0,0,2,4.079143374026009,1
0,14,2,0,0,0,1,0,-1,0,0,3,3.708093391577498,1
0,11,2,16,0,0,1,0,0,0,0,5,4.240543682447234,0
0,11,2,1,0,0,4,0,-1,0,0,6,4.385754484978178,1
0,18,1,2,0,0,0,0,-1,26,1,1,4.205536075989824,1
0,12,1,4,0,0,5,0,-1,0,0,2,4.330416151740999,1
0,19,2,3,0,0,7,0,-1,0,0,3,4.588534464208536,1
0,11,1,0,0,0,8,0,-1,0,0,3,4.21506101220307,1
0,21,3,0,0,0,0,0,-1,0,0,3,4.345350936622436,1
0,9,2,0,0,0,7,0,-1,22,2,1,4.558438218424666,0
0,15,2,1,0,0,7,0,-1,0,0,5,4.290321609248304,1
0,22,2,1,0,0,2,0,-1,0,0,3,4.136508595818438,1
0,7,1,0,0,0,3,0,-1,0,0,5,3.9328743603470455,1
0,11,2,6,0,0,8,0,-1,0,0,5,4.464972945491203,1
0,16,1,0,0,0,5,0,-1,0,0,3,4.27137063437885,1
0,13,2,0,0,0,5,0,-1,8,1,1,4.438333513297849,1
0,14,1,0,0,0,0,0,-1,0,0,3,3.7348486136508465,1
0,17,1,6,0,0,12,0,0,0,0,7,4.517812484355209,0
0,16,2,0,0,0,0,0,-1,0,0,2,3.973512753576009,1
0,18,2,0,0,0,5,0,-1,0,0,6,4.595255820524232,1
0,17,2,2,0,0,4,0,-1,0,0,3,4.259740501202348,1
0,17,2,0,0,0,5,0,-1,0,0,2,4.026707198797093,0
0,13,1,0,0,0,0,0,-1,0,0,2,4.0060710131011685,1
0,21,3,0,0,0,9,0,-1,28,3,1,4.5874433125951875,1
0,16,2,0,0,0,10,0,-1,26,3,1,4.407268229617389,1
0,14,1,0,0,0,0,0,-1,0,0,3,3.8143719431796272,1
0,20,2,0,0,0,0,0,-1,0,0,2,4.028639311838575,1
0,16,2,0,0,0,0,0,-1,0,0,2,3.728972140861,1
0,25,2,7,0,0,19,0,-1,0,0,3,4.465879258283961,1
0,14,1,0,0,0,0,0,-1,0,0,1,3.456564762130954,1
0,26,1,0,0,0,0,0,-1,0,0,1,3.8063822994065504,1
0,9,1,0,0,0,0,0,-1,0,0,4,3.771437029461126,1
0,13,2,0,0,0,0,0,-1,0,0,2,3.9134007456613777,1
0,13,2,0,0,0,27,0,0,80,5,4,4.6040177174332735,0
0,17,2,0,0,0,0,0,-1,0,0,1,3.5875986337223496,1
0,16,2,0,0,0,0,0,-1,0,0,2,4.075101293381128,1
0,6,1,0,0,0,0,0,-1,0,0,1,2.5216406363433186,0
0,27,3,0,0,0,14,0,-1,0,0,5,5.264294469912197,1
0,12,1,1,0,0,6,0,-1,0,0,5,4.339542523232318,1
0,17,1,0,0,0,0,0,-1,0,0,1,3.4613201402110083,1
0,9,2,0,0,0,0,0,-1,0,0,5,4.131108034037036,1
0,6,1,0,0,0,0,0,-1,0,0,4,4.118760267520956,0
0,9,2,0,0,0,0,0,-1,0,0,2,3.6887218755408675,1
0,28,2,0,0,0,0,0,-1,0,0,1,4.073329701949522,1
0,18,1,0,0,0,0,0,-1,0,0,1,3.0503018554349817,1
0,14,2,0,0,0,11,0,-1,0,0,5,4.68637013015618,1
0,15,3,0,0,0,3,0,-1,0,0,2,4.185230132909402,1
0,12,1,0,0,0,1,0,-1,0,0,3,4.140319531114783,1
0,29,2,0,0,0,0,0,-1,0,0,1,3.8029100796497266,1
0,9,1,0,0,0,0,0,-1,14,1,1,4.063650847340264,1
0,12,1,0,0,0,0,0,-1,0,0,4,3.7775511192086584,1
0,13,1,0,0,0,12,0,-1,0,0,6,4.258694969562842,1
0,15,2,5,0,0,8,0,-1,0,0,1,4.195977533987786,1
0,15,2,5,0,0,13,0,-1,0,0,1,4.909152051620054,1
0,21,2,9,0,0,0,0,-1,0,0,4,4.062891130505411,1
0,17,3,0,0,0,0,0,-1,23,1,2,4.077082261221976,1
0,33,2,3,0,0,0,0,-1,0,0,2,4.077450268029815,1
0,11,1,0,0,0,1,0,-1,13,1,1,4.413716068381602,1
0,20,1,1,0,0,0,0,-1,0,0,1,3.7849418274376423,1
0,10,1,17,0,0,5,0,-1,0,0,2,4.163461417435658,1
0,10,2,4,0,0,4,0,-1,0,0,4,4.293686926968942,1
0,8,1,0,0,0,3,0,-1,0,0,4,4.218128820706466,1
0,10,1,0,0,0,0,0,-1,0,0,1,3.749902506162896,1
0,10,1,7,0,0,30,0,0,0,0,6,3.7134562471509187,0
0,8,1,7,0,0,0,0,-1,0,0,3,4.307964081729561,1
0,14,1,0,0,0,1,0,-1,0,0,3,4.186905382477226,1
0,15,1,4,0,0,0,0,0,0,0,8,4.325419689283496,0
0,16,2,0,0,0,0,0,-1,0,0,2,4.063650847340263,1
0,15,1,9,0,0,6,0,0,0,0,5,4.342071595992235,0
0,10,2,0,0,0,0,0,-1,0,0,1,3.82306798227366,1
0,12,1,12,0,0,12,0,-1,0,0,6,4.54125029339541,1
0,12,1,1,0,0,6,0,-1,0,0,5,4.433788517278394,1
0,22,1,0,0,0,0,0,-1,0,0,1,3.414441303694973,1
0,13,1,0,0,0,0,0,-1,0,0,1,3.6644977792004623,1
0,19,2,0,0,0,0,0,-1,0,0,2,4.080439935111998,1
0,13,1,21,0,0,6,0,-1,0,0,3,4.247081211622214,1
0,12,1,0,0,0,0,0,-1,0,0,1,3.085055102756477,1
0,17,1,2,0,0,0,0,-1,0,0,2,4.210733711724087,1
0,13,2,7,0,0,17,0,0,56,1,5,4.6725463293279645,0
0,18,1,11,0,0,6,0,-1,0,0,2,4.2884836334286565,1
0,12,2,6,0,0,4,0,-1,0,0,4,4.319699389180634,1
0,24,1,0,0,0,0,0,-1,0,0,1,3.8332696895151073,1
0,23,3,0,0,0,0,0,-1,0,0,6,4.002201145875074,0
0,10,1,1,0,0,0,0,-1,0,0,4,3.9740082275484503,0
0,22,1,1,0,0,0,0,-1,0,0,1,3.8820451081368628,1
0,16,2,0,0,0,0,0,-1,0,0,2,4.163438256246698,1
0,11,2,2,0,0,0,0,-1,0,0,2,4.50161863299422,0
0,13,2,12,0,0,6,0,0,0,0,4,4.282246748045748,0
0,15,4,1,0,0,10,0,-1,0,0,4,4.384119901069573,1
0,11,2,1,0,0,90,0,0,265,1,3,4.418370614661001,0
0,15,2,10,0,0,1,0,1,0,0,7,4.1603133638939545,0
0,6,2,4,0,0,1,0,0,0,0,7,4.071564693126404,0
0,17,2,1,0,0,6,0,-1,0,0,4,4.490740760310774,1
0,30,2,0,0,0,0,0,-1,0,0,1,4.026619294188053,1
